id,district_id,name,bangla,web,created_by
203,26,Sreepur,শ্রীপুর,sreepur.magura.gov.bd,system
204,26,Magura Sadar,মাগুরা সদর,magurasadar.magura.gov.bd,system
205,26,Mohammadpur,মহম্মদপুর,mohammadpur.magura.gov.bd,system
206,27,Paikgasa,পাইকগাছা,paikgasa.khulna.gov.bd,system
207,27,Fultola,ফুলতলা,fultola.khulna.gov.bd,system
208,27,Digholia,দিঘলিয়া,digholia.khulna.gov.bd,system
209,27,Rupsha,রূপসা,rupsha.khulna.gov.bd,system
210,27,Terokhada,তেরখাদা,terokhada.khulna.gov.bd,system
211,27,Dumuria,ডুমুরিয়া,dumuria.khulna.gov.bd,system
212,27,Botiaghata,বটিয়াঘাটা,botiaghata.khulna.gov.bd,system
213,27,Dakop,দাকোপ,dakop.khulna.gov.bd,system
214,27,Koyra,কয়রা,koyra.khulna.gov.bd,system
215,28,Fakirhat,ফকিরহাট,fakirhat.bagerhat.gov.bd,system
216,28,Bagerhat Sadar,বাগেরহাট সদর,sadar.bagerhat.gov.bd,system
217,28,Mollahat,মোল্লাহাট,mollahat.bagerhat.gov.bd,system
218,28,Sarankhola,শরণখোলা,sarankhola.bagerhat.gov.bd,system
219,28,Rampal,রামপাল,rampal.bagerhat.gov.bd,system
220,28,Morrelganj,মোড়েলগঞ্জ,morrelganj.bagerhat.gov.bd,system
221,28,Kachua,কচুয়া,kachua.bagerhat.gov.bd,system
222,28,Mongla,মোংলা,mongla.bagerhat.gov.bd,system
223,28,Chitalmari,চিতলমারী,chitalmari.bagerhat.gov.bd,system
224,29,Jhenaidah Sadar,ঝিনাইদহ সদর,sadar.jhenaidah.gov.bd,system
225,29,Shailkupa,শৈলকুপা,shailkupa.jhenaidah.gov.bd,system
226,29,Harinakundu,হরিণাকুন্ডু,harinakundu.jhenaidah.gov.bd,system
227,29,Kaliganj,কালীগঞ্জ,kaliganj.jhenaidah.gov.bd,system
228,29,Kotchandpur,কোটচাঁদপুর,kotchandpur.jhenaidah.gov.bd,system
229,29,Moheshpur,মহেশপুর,moheshpur.jhenaidah.gov.bd,system
230,30,Jhalakathi Sadar,ঝালকাঠি সদর,sadar.jhalakathi.gov.bd,system
231,30,Kathalia,কাঠালিয়া,kathalia.jhalakathi.gov.bd,system
232,30,Nalchity,নলছিটি,nalchity.jhalakathi.gov.bd,system
233,30,Rajapur,রাজাপুর,rajapur.jhalakathi.gov.bd,system
234,31,Bauphal,বাউফল,bauphal.patuakhali.gov.bd,system
235,31,Patuakhali Sadar,পটুয়াখালী সদর,sadar.patuakhali.gov.bd,system
236,31,Dumki,দুমকি,dumki.patuakhali.gov.bd,system
237,31,Dashmina,দশমিনা,dashmina.patuakhali.gov.bd,system
238,31,Kalapara,কলাপাড়া,kalapara.patuakhali.gov.bd,system
239,31,Mirzaganj,মির্জাগঞ্জ,mirzaganj.patuakhali.gov.bd,system
240,31,Galachipa,গলাচিপা,galachipa.patuakhali.gov.bd,system
241,31,Rangabali,রাঙ্গাবালী,rangabali.patuakhali.gov.bd,system
